<s>	0
<pad>	0
</s>	0
<unk>	0
<mask>	0
<unused0>	0
<unused1>	0
<unused2>	0
,	-2.84272
。	-3.73064
的	-3.76507
▁	-3.88322
、	-4.43239
在	-5.0394
和	-5.23196
)	-5.53943
“	-5.54019
年	-5.5668
是	-5.56791
了	-5.61886
:	-5.63655
(	-5.73001
中	-5.77523
”	-5.79497
为	-5.80054
有	-5.89186
月	-5.92417
人	-5.93819
日	-5.95688
与	-5.96028
大	-6.0189
上	-6.09262
对	-6.10531
不	-6.13662
一	-6.18616
将	-6.23003
等	-6.28209
后	-6.29538
以	-6.3345
时	-6.37207
;	-6.3784
说	-6.38873
到	-6.43618
▁*	-6.44708
也	-6.47881
会	-6.48689
中国	-6.51824
及	-6.58414
他	-6.59971
3	-6.60227
1	-6.60315
「	-6.64553
而	-6.64815
》	-6.65405
地	-6.68338
于	-6.70614
被	-6.7252
2	-6.72656
就	-6.73862
▁==	-6.74204
新	-6.74674
《	-6.74918
并	-6.76653
从	-6.77664
但	-6.78042
要	-6.79214
多	-6.79713
5	-6.79983
下	-6.8016
小	-6.82311
前	-6.82712
4	-6.84693
高	-6.85822
我	-6.85844
三	-6.87088
表示	-6.88364
?	-6.88964
出	-6.89933
10	-6.90612
都	-6.91643
来	-6.91678
家	-6.94116
名	-6.96087
点	-6.96913
公司	-6.97127
」	-6.97363
6	-6.979
之	-6.98583
向	-7.0096
性	-7.00975
水	-7.01219
用	-7.01337
子	-7.01737
!	-7.01998
分	-7.02649
-	-7.03085
.	-7.03639
市	-7.03684
至	-7.04654
7	-7.04761
进行	-7.05906
可	-7.07331
已	-7.08035
由	-7.08044
区	-7.09322
里	-7.09464
长	-7.10336
8	-7.11611
一个	-7.11998
天	-7.1205
国	-7.13347
所	-7.14426
山	-7.14562
9	-7.14848
工作	-7.15026
个	-7.15382
我们	-7.16106
美国	-7.16263
还	-7.16392
或	-7.17456
金	-7.17612
车	-7.1778
万	-7.18987
内	-7.19262
这	-7.19657
你	-7.2027
元	-7.21349
国家	-7.2151
能	-7.21721
好	-7.21967
发展	-7.22307
二	-7.23242
市场	-7.23944
政府	-7.26002
者	-7.27346
企业	-7.27495
其	-7.27612
德	-7.27658
无	-7.27856
可以	-7.29202
着	-7.30104
五	-7.30639
美	-7.30764
成	-7.31298
外	-7.32345
队	-7.32591
文	-7.3318
四	-7.33235
过	-7.33745
▁(	-7.34025
问题	-7.34655
没有	-7.3466
开	-7.35164
最	-7.35188
比	-7.35297
台湾	-7.35678
法	-7.36537
经济	-7.3676
自	-7.37473
特	-7.3832
让	-7.38555
发	-7.39281
他们	-7.39531
国际	-7.39759
心	-7.4032
斯	-7.40406
海	-7.40893
化	-7.41245
生	-7.4141
把	-7.41627
得	-7.41682
12	-7.42328
行	-7.43037
王	-7.43276
手	-7.44348
起	-7.4496
去	-7.45374
·	-7.4578
投资	-7.45923
更	-7.46007
两	-7.4602
路	-7.46645
又	-7.47233
张	-7.47519
通过	-7.49117
马	-7.49172
已经	-7.50302
该	-7.50503
学	-7.50589
林	-7.50995
部	-7.5126
西	-7.51405
目前	-7.51602
线	-7.51635
本	-7.51679
/	-7.51712
再	-7.52041
11	-7.52166
她	-7.52456
20	-7.52644
头	-7.5311
力	-7.54213
今天	-7.54479
台	-7.55021
达	-7.55452
正	-7.55501
活动	-7.55574
做	-7.56816
拉	-7.56859
尔	-7.57056
道	-7.57216
局	-7.57348
南	-7.57422
认为	-7.58076
克	-7.58849
华	-7.58911
以及	-7.58968
明	-7.59083
看	-7.59187
管理	-7.59493
地区	-7.59923
自己	-7.59942
军	-7.5998
全	-7.59992
应	-7.60363
给	-7.60376
打	-7.60493
30	-7.60654
县	-7.60857
服务	-7.61474
重	-7.61573
机	-7.61609
号	-7.6215
这个	-7.63276
则	-7.63293
建设	-7.6339
安	-7.63693
总	-7.64117
级	-7.64339
因	-7.6435
度	-7.65192
世界	-7.6528
报	-7.65976
加	-7.66052
入	-7.67237
转	-7.67337
面	-7.67755
同	-7.67797
李	-7.68074
利	-7.6849
花	-7.68593
技术	-7.68798
风	-7.68809
量	-7.69226
今年	-7.69252
记者	-7.69858
成为	-7.69935
光	-7.70325
s	-7.7085
陈	-7.71293
就是	-7.7134
处	-7.71726
东	-7.71792
方	-7.72377
社会	-7.7252
”。	-7.72555
开始	-7.7256
老	-7.73269
】	-7.73339
教育	-7.7338
站	-7.73486
要求	-7.73781
门	-7.74539
这些	-7.74583
日本	-7.74643
六	-7.75051
使	-7.75286
各	-7.75351
时间	-7.75678
称	-7.76589
计划	-7.76811
需要	-7.77205
19	-7.77316
科	-7.77495
期	-7.77739
指出	-7.78058
人员	-7.78387
八	-7.79213
项目	-7.79719
城	-7.79975
香港	-7.8
因为	-7.80074
米	-7.80246
使用	-7.80389
事	-7.80442
银行	-7.80709
卡	-7.80721
”,	-7.80811
A	-7.80959
平	-7.81065
建	-7.81286
文化	-7.81343
当	-7.8166
包括	-7.81664
:“	-7.81672
很	-7.82391
位	-7.82464
场	-7.83001
大学	-7.83132
可能	-7.83426
中心	-7.83661
经	-7.84364
▁【	-7.84892
气	-7.84934
网	-7.85889
▁在	-7.85927
如果	-7.86137
C	-7.86607
▁===	-7.86927
如	-7.87114
合作	-7.87253
▁“	-7.87544
约	-7.87633
通	-7.87829
公	-7.87891
组织	-7.88143
其中	-7.88293
S	-7.8866
发现	-7.88726
安全	-7.88859
赛	-7.88982
提供	-7.89229
北	-7.9005
原	-7.90134
强	-7.90358
数	-7.90363
一些	-7.90489
曾	-7.90636
全国	-7.90696
希望	-7.91053
定	-7.9121
次	-7.91777
受	-7.91928
爱	-7.91967
战	-7.92303
15	-7.92505
产品	-7.9259
主要	-7.92612
P	-7.92621
州	-7.9286
七	-7.92994
黄	-7.93098
红	-7.9331
白	-7.93383
B	-7.93402
北京	-7.93404
书	-7.93494
第	-7.93535
商	-7.93569
却	-7.93725
口	-7.93977
单	-7.93992
研究	-7.94017
系统	-7.94692
只	-7.94715
体	-7.95174
女	-7.95232
想	-7.95322
作	-7.95336
型	-7.95443
罗	-7.9553
同时	-7.95744
进	-7.95882
==	-7.96438
代表	-7.96609
方面	-7.9732
近	-7.97849
18	-7.97963
发生	-7.98107
制	-7.98108
龙	-7.98254
T	-7.98337
未	-7.98446
球	-7.98569
村	-7.9868
影响	-7.98738
巴	-7.98827
图	-7.98877
参加	-7.99427
连	-8.0036
